Matrícula: 00101991 | Nota: 33.5
Matrícula: 00101991 | Nota: 33.5
Matrícula: 00101991 | Nota: 33.5
Matrícula: 00101991 | Nota: 33.5
Matrícula: 00101991 | Nota: 33.5
Matrícula: 00306088 | Nota: 24.0
Matrícula: 00306088 | Nota: 24.0
Matrícula: 00412715 | Nota: 44.5
Matrícula: 00412790 | Nota: 0.0
Matrícula: 00280714 | Nota: 55.3
Matrícula: 00382513 | Nota: 55.8
Matrícula: 00037379 | Nota: 17.8
Matrícula: 00373477 | Nota: 44.3
Matrícula: 00085344 | Nota: 31.8
Matrícula: 00113812 | Nota: 67.3
Matrícula: 00336015 | Nota: 46.0
Matrícula: 00023133 | Nota: 28.0
Matrícula: 00111954 | Nota: 27.5
Matrícula: 00111954 | Nota: 27.5
Matrícula: 00170838 | Nota: 34.8
